2025-07-23 11:54:36 | IP: 192.168.101.69 | CNPJ: 13.338.734/0001-27 | Ano: 2024 | Arquivo: Financeiro\calcular_nota_financeiro.py
2025-07-23 11:54:41 | IP: 192.168.101.69 | CNPJ: 13.338.734/0001-27 | Ano: 2024 | Arquivo: Qualitativo\calcular_notas_qualitativo.py
2025-07-23 11:54:46 | IP: 192.168.101.69 | CNPJ: 13.338.734/0001-27 | Ano: 2024 | Arquivo: Quantitativo\Alavancagem\calcular_alavancagem.py
2025-07-23 11:54:51 | IP: 192.168.101.69 | CNPJ: 13.338.734/0001-27 | Ano: 2024 | Arquivo: Quantitativo\GRO\calcular_gro.py
2025-07-23 11:55:03 | IP: 192.168.101.69 | CNPJ: 13.338.734/0001-27 | Ano: 2024 | Arquivo: Quantitativo\VarVolume\calcular_mediana.py
2025-07-23 11:55:08 | IP: 192.168.101.69 | CNPJ: 13.338.734/0001-27 | Ano: 2024 | Arquivo: Quantitativo\calcular_notas_quantitativo.py
2025-07-23 11:55:14 | IP: 192.168.101.69 | CNPJ: 13.338.734/0001-27 | Ano: 2024 | Arquivo: calculo_final.py
2025-07-23 11:55:46 | IP: 192.168.101.69 | CNPJ: 13.338.734/0001-27 | Ano: 2024 | Arquivo: Financeiro\calcular_nota_financeiro.py
2025-07-23 11:55:55 | IP: 192.168.101.69 | CNPJ: 13.338.734/0001-27 | Ano: 2024 | Arquivo: Qualitativo\calcular_notas_qualitativo.py
2025-07-23 11:56:12 | IP: 192.168.101.69 | CNPJ: 13.338.734/0001-27 | Ano: 2024 | Arquivo: Quantitativo\Alavancagem\calcular_alavancagem.py
2025-07-23 11:56:25 | IP: 192.168.101.69 | CNPJ: 13.338.734/0001-27 | Ano: 2024 | Arquivo: Quantitativo\GRO\calcular_gro.py
2025-07-23 11:56:52 | IP: 192.168.101.69 | CNPJ: 13.338.734/0001-27 | Ano: 2024 | Arquivo: Quantitativo\VarVolume\calcular_mediana.py
2025-07-23 11:56:58 | IP: 192.168.101.69 | CNPJ: 13.338.734/0001-27 | Ano: 2024 | Arquivo: Quantitativo\calcular_notas_quantitativo.py
2025-07-23 11:57:03 | IP: 192.168.101.69 | CNPJ: 13.338.734/0001-27 | Ano: 2024 | Arquivo: calculo_final.py
2025-07-23 11:59:32 | IP: 192.168.101.69 | CNPJ: 13.338.734/0001-27 | Ano: 2024 | Arquivo: Financeiro\calcular_nota_financeiro.py
2025-07-23 11:59:38 | IP: 192.168.101.69 | CNPJ: 13.338.734/0001-27 | Ano: 2024 | Arquivo: Qualitativo\calcular_notas_qualitativo.py
2025-07-23 11:59:45 | IP: 192.168.101.69 | CNPJ: 13.338.734/0001-27 | Ano: 2024 | Arquivo: Quantitativo\Alavancagem\calcular_alavancagem.py
2025-07-23 11:59:54 | IP: 192.168.101.69 | CNPJ: 13.338.734/0001-27 | Ano: 2024 | Arquivo: Quantitativo\GRO\calcular_gro.py
2025-07-23 12:00:35 | IP: 192.168.101.69 | CNPJ: 13.338.734/0001-27 | Ano: 2024 | Arquivo: Quantitativo\VarVolume\calcular_mediana.py
2025-07-23 12:00:43 | IP: 192.168.101.69 | CNPJ: 13.338.734/0001-27 | Ano: 2024 | Arquivo: Quantitativo\calcular_notas_quantitativo.py
2025-07-23 12:00:51 | IP: 192.168.101.69 | CNPJ: 13.338.734/0001-27 | Ano: 2024 | Arquivo: calculo_final.py
2025-07-23 12:11:25 | IP: 192.168.101.69 | CNPJ: 00.000.000/0000-01 | Ano: 2023 | Arquivo: Financeiro\calcular_nota_financeiro.py
2025-07-23 12:11:34 | IP: 192.168.101.69 | CNPJ: 00.000.000/0000-01 | Ano: 2023 | Arquivo: Qualitativo\calcular_notas_qualitativo.py
2025-07-23 12:11:42 | IP: 192.168.101.69 | CNPJ: 00.000.000/0000-01 | Ano: 2023 | Arquivo: Quantitativo\Alavancagem\calcular_alavancagem.py
2025-07-23 12:11:47 | IP: 192.168.101.69 | CNPJ: 00.000.000/0000-01 | Ano: 2023 | Arquivo: Quantitativo\GRO\calcular_gro.py
2025-07-23 12:11:56 | IP: 192.168.101.69 | CNPJ: 00.000.000/0000-01 | Ano: 2023 | Arquivo: Quantitativo\VarVolume\calcular_mediana.py
2025-07-23 12:12:00 | IP: 192.168.101.69 | CNPJ: 00.000.000/0000-01 | Ano: 2023 | Arquivo: Quantitativo\calcular_notas_quantitativo.py
2025-07-23 12:12:05 | IP: 192.168.101.69 | CNPJ: 00.000.000/0000-01 | Ano: 2023 | Arquivo: calculo_final.py
2025-07-23 14:35:08 | IP: 192.168.101.69 | CNPJ: 00.000.000/0110-00 | Ano: 2025 | Arquivo: Financeiro\calcular_nota_financeiro.py
2025-07-23 14:35:13 | IP: 192.168.101.69 | CNPJ: 00.000.000/0110-00 | Ano: 2025 | Arquivo: Qualitativo\calcular_notas_qualitativo.py
2025-07-23 14:35:17 | IP: 192.168.101.69 | CNPJ: 00.000.000/0110-00 | Ano: 2025 | Arquivo: Quantitativo\Alavancagem\calcular_alavancagem.py
2025-07-23 14:35:20 | IP: 192.168.101.69 | CNPJ: 00.000.000/0110-00 | Ano: 2025 | Arquivo: Quantitativo\GRO\calcular_gro.py
2025-07-23 14:35:25 | IP: 192.168.101.69 | CNPJ: 00.000.000/0110-00 | Ano: 2025 | Arquivo: Quantitativo\VarVolume\calcular_mediana.py
2025-07-23 14:35:29 | IP: 192.168.101.69 | CNPJ: 00.000.000/0110-00 | Ano: 2025 | Arquivo: Quantitativo\calcular_notas_quantitativo.py
2025-07-23 14:35:34 | IP: 192.168.101.69 | CNPJ: 00.000.000/0110-00 | Ano: 2025 | Arquivo: calculo_final.py
2025-07-23 14:36:03 | IP: 192.168.101.69 | CNPJ: 00.000.000/0110-00 | Ano: 2023 | Arquivo: Financeiro\calcular_nota_financeiro.py
2025-07-23 14:36:08 | IP: 192.168.101.69 | CNPJ: 00.000.000/0110-00 | Ano: 2023 | Arquivo: Qualitativo\calcular_notas_qualitativo.py
2025-07-23 14:36:12 | IP: 192.168.101.69 | CNPJ: 00.000.000/0110-00 | Ano: 2023 | Arquivo: Quantitativo\Alavancagem\calcular_alavancagem.py
2025-07-23 14:36:15 | IP: 192.168.101.69 | CNPJ: 00.000.000/0110-00 | Ano: 2023 | Arquivo: Quantitativo\GRO\calcular_gro.py
2025-07-23 14:36:21 | IP: 192.168.101.69 | CNPJ: 00.000.000/0110-00 | Ano: 2023 | Arquivo: Quantitativo\VarVolume\calcular_mediana.py
2025-07-23 14:36:25 | IP: 192.168.101.69 | CNPJ: 00.000.000/0110-00 | Ano: 2023 | Arquivo: Quantitativo\calcular_notas_quantitativo.py
2025-07-23 14:36:29 | IP: 192.168.101.69 | CNPJ: 00.000.000/0110-00 | Ano: 2023 | Arquivo: calculo_final.py
2025-07-23 14:37:37 | IP: 192.168.101.69 | CNPJ: 00.000.000/0110-00 | Ano: 2025 | Arquivo: Financeiro\calcular_nota_financeiro.py
2025-07-23 14:37:42 | IP: 192.168.101.69 | CNPJ: 00.000.000/0110-00 | Ano: 2025 | Arquivo: Qualitativo\calcular_notas_qualitativo.py
2025-07-23 14:37:47 | IP: 192.168.101.69 | CNPJ: 00.000.000/0110-00 | Ano: 2025 | Arquivo: Quantitativo\Alavancagem\calcular_alavancagem.py
2025-07-23 14:37:51 | IP: 192.168.101.69 | CNPJ: 00.000.000/0110-00 | Ano: 2025 | Arquivo: Quantitativo\GRO\calcular_gro.py
2025-07-23 14:37:57 | IP: 192.168.101.69 | CNPJ: 00.000.000/0110-00 | Ano: 2025 | Arquivo: Quantitativo\VarVolume\calcular_mediana.py
2025-07-23 14:38:04 | IP: 192.168.101.69 | CNPJ: 00.000.000/0110-00 | Ano: 2025 | Arquivo: Quantitativo\calcular_notas_quantitativo.py
2025-07-23 14:38:12 | IP: 192.168.101.69 | CNPJ: 00.000.000/0110-00 | Ano: 2025 | Arquivo: calculo_final.py
2025-07-23 14:41:43 | IP: 192.168.101.69 | CNPJ: 13.338.734/0001-27 | Ano: 2024 | Arquivo: Financeiro\calcular_nota_financeiro.py
